OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V4
AB810025.1.1485	1247.1552034126	1.80613200329874	0.724176788027361	2.49404846048518	0.0126295300459866	0.626424690280934	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
FN421601.1.1418	5.7618636440688	-1.43318512821267	0.53352135251665	-2.68627510680174	0.00722535704045482	0.45401695832135	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae
FN821377.1.1489	23.859266629316	2.78988854687211	1.05591693269111	2.64214774902966	0.00823821093728256	0.45401695832135	k:Bacteria,p:Firmicutes,c:Bacilli
FX116246.16.1814	10.8114066945149	0.714712518209314	0.349509394628686	2.044902166274	0.0408645043194755	0.998003865789213	k:Bacteria
HG798413.1.1376	8.68489177114649	1.38443180320914	0.58324042282236	2.37368973246014	0.0176113423018741	0.794111434702688	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Lactococcus
HG799983.1.1629	299.059010291787	-1.26153926026218	0.412971866075898	-3.05478257453578	0.00225223734878352	0.27032304428176	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,s:Lactobacillus_kunkeei
HM108452.1.1455	111.443484650373	1.39643174971102	0.379285731082914	3.68174079663901	0.000231646859246465	0.114896842186247	k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales
HM112051.1.1397	3530.24578213053	0.378465745305779	0.142670615484643	2.6527238564168	0.00798451633174675	0.45401695832135	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
HM215042.1.1484	16.514599237113	-0.642435158568862	0.312488179012377	-2.05587027515501	0.0397950219656971	0.998003865789213	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
OTU_dn_106	7.021522384889	2.62250067733545	0.756962713506981	3.46450443402358	0.000531209382436012	0.131739926844131	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus
OTU_dn_149	3.03138585131245	-0.465105994312002	0.204542740461376	-2.27388169955525	0.022973100296222	0.949554812243844	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria
OTU_dn_18	10.0880338583955	0.452372020223098	0.212286761179744	2.130947863678	0.0330934375868865	0.998003865789213	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria
OTU_dn_21	12.6636679806985	1.16478292098391	0.355851449629269	3.27322797812794	0.0010632667998011	0.175793444233782	k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Acetobacterales,f:Acetobacteraceae
OTU_dn_24	4.90707365101038	1.37200799774761	0.464683687738223	2.95256328972004	0.00315147459442537	0.27032304428176	k:Bacteria,p:Proteobacteria
OTU_dn_27	6.70547375868801	0.554818406966719	0.26205298450289	2.11719934432039	0.0342429330314807	0.998003865789213	k:Bacteria
OTU_dn_42	4.48605431233988	0.650473806909411	0.310706862947558	2.09352893186399	0.0363019641666821	0.998003865789213	k:Bacteria
OTU_dn_48	4.59096513770182	2.49879524543148	1.19164468286331	2.09692979909692	0.0359997901756763	0.998003865789213	k:Bacteria,p:Firmicutes,c:Bacilli
OTU_dn_54	2.86919004978466	2.43689205875981	1.20437305096727	2.02336979958382	0.0430350354380588	0.998003865789213	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales
OTU_dn_7	31.3822225205761	0.673188262121365	0.228886624737533	2.94114286010954	0.00327003682598904	0.27032304428176	k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria
